emoji	name	group	subgroup
👁️	eye	People & Body	body-parts
👅	tongue	People & Body	body-parts
👄	mouth	People & Body	body-parts
🫦	biting lip	People & Body	body-parts
👶	baby	People & Body	person
🧒	child	People & Body	person
👦	boy	People & Body	person
👧	girl	People & Body	person
🧑	person	People & Body	person
👱	person: blond hair	People & Body	person
👨	man	People & Body	person
🧔	person: beard	People & Body	person
🧔‍♂️	man: beard	People & Body	person
🧔‍♀️	woman: beard	People & Body	person
👨‍🦰	man: red hair	People & Body	person
👨‍🦱	man: curly hair	People & Body	person
👨‍🦳	man: white hair	People & Body	person
👨‍🦲	man: bald	People & Body	person
👩	woman	People & Body	person
👩‍🦰	woman: red hair	People & Body	person
🧑‍🦰	person: red hair	People & Body	person
👩‍🦱	woman: curly hair	People & Body	person
🧑‍🦱	person: curly hair	People & Body	person
👩‍🦳	woman: white hair	People & Body	person
🧑‍🦳	person: white hair	People & Body	person
👩‍🦲	woman: bald	People & Body	person
🧑‍🦲	person: bald	People & Body	person
👱‍♀️	woman: blond hair	People & Body	person
👱‍♂️	man: blond hair	People & Body	person
🧓	older person	People & Body	person
👴	old man	People & Body	person
👵	old woman	People & Body	person
🙍	person frowning	People & Body	person-gesture
🙍‍♂️	man frowning	People & Body	person-gesture
🙍‍♀️	woman frowning	People & Body	person-gesture
🙎	person pouting	People & Body	person-gesture
🙎‍♂️	man pouting	People & Body	person-gesture
🙎‍♀️	woman pouting	People & Body	person-gesture
🙅	person gesturing NO	People & Body	person-gesture
🙅‍♂️	man gesturing NO	People & Body	person-gesture
🙅‍♀️	woman gesturing NO	People & Body	person-gesture
🙆	person gesturing OK	People & Body	person-gesture
🙆‍♂️	man gesturing OK	People & Body	person-gesture
🙆‍♀️	woman gesturing OK	People & Body	person-gesture
💁	person tipping hand	People & Body	person-gesture
💁‍♂️	man tipping hand	People & Body	person-gesture
💁‍♀️	woman tipping hand	People & Body	person-gesture
🙋	person raising hand	People & Body	person-gesture
🙋‍♂️	man raising hand	People & Body	person-gesture
🙋‍♀️	woman raising hand	People & Body	person-gesture
🧏	deaf person	People & Body	person-gesture
🧏‍♂️	deaf man	People & Body	person-gesture
🧏‍♀️	deaf woman	People & Body	person-gesture
🙇	person bowing	People & Body	person-gesture
🙇‍♂️	man bowing	People & Body	person-gesture
🙇‍♀️	woman bowing	People & Body	person-gesture
🤦	person facepalming	People & Body	person-gesture
🤦‍♂️	man facepalming	People & Body	person-gesture
🤦‍♀️	woman facepalming	People & Body	person-gesture
🤷	person shrugging	People & Body	person-gesture
🤷‍♂️	man shrugging	People & Body	person-gesture
🤷‍♀️	woman shrugging	People & Body	person-gesture
🧑‍⚕️	health worker	People & Body	person-role
👨‍⚕️	man health worker	People & Body	person-role
👩‍⚕️	woman health worker	People & Body	person-role
🧑‍🎓	student	People & Body	person-role
👨‍🎓	man student	People & Body	person-role
👩‍🎓	woman student	People & Body	person-role
🧑‍🏫	teacher	People & Body	person-role
👨‍🏫	man teacher	People & Body	person-role
👩‍🏫	woman teacher	People & Body	person-role
🧑‍⚖️	judge	People & Body	person-role
👨‍⚖️	man judge	People & Body	person-role
👩‍⚖️	woman judge	People & Body	person-role
🧑‍🌾	farmer	People & Body	person-role
👨‍🌾	man farmer	People & Body	person-role
👩‍🌾	woman farmer	People & Body	person-role
🧑‍🍳	cook	People & Body	person-role
👨‍🍳	man cook	People & Body	person-role
👩‍🍳	woman cook	People & Body	person-role
🧑‍🔧	mechanic	People & Body	person-role
👨‍🔧	man mechanic	People & Body	person-role
👩‍🔧	woman mechanic	People & Body	person-role
🧑‍🏭	factory worker	People & Body	person-role
👨‍🏭	man factory worker	People & Body	person-role
👩‍🏭	woman factory worker	People & Body	person-role
🧑‍💼	office worker	People & Body	person-role
👨‍💼	man office worker	People & Body	person-role
👩‍💼	woman office worker	People & Body	person-role
🧑‍🔬	scientist	People & Body	person-role
👨‍🔬	man scientist	People & Body	person-role
👩‍🔬	woman scientist	People & Body	person-role
🧑‍💻	technologist	People & Body	person-role
👨‍💻	man technologist	People & Body	person-role
👩‍💻	woman technologist	People & Body	person-role
🧑‍🎤	singer	People & Body	person-role
👨‍🎤	man singer	People & Body	person-role
👩‍🎤	woman singer	People & Body	person-role
🧑‍🎨	artist	People & Body	person-role
👨‍🎨	man artist	People & Body	person-role
👩‍🎨	woman artist	People & Body	person-role
🧑‍✈️	pilot	People & Body	person-role
👨‍✈️	man pilot	People & Body	person-role
👩‍✈️	woman pilot	People & Body	person-role
🧑‍🚀	astronaut	People & Body	person-role
👨‍🚀	man astronaut	People & Body	person-role
👩‍🚀	woman astronaut	People & Body	person-role
🧑‍🚒	firefighter	People & Body	person-role
👨‍🚒	man firefighter	People & Body	person-role
👩‍🚒	woman firefighter	People & Body	person-role
👮	police officer	People & Body	person-role
👮‍♂️	man police officer	People & Body	person-role
👮‍♀️	woman police officer	People & Body	person-role
🕵️	detective	People & Body	person-role
🕵️‍♂️	man detective	People & Body	person-role
🕵️‍♀️	woman detective	People & Body	person-role
💂	guard	People & Body	person-role
💂‍♂️	man guard	People & Body	person-role
💂‍♀️	woman guard	People & Body	person-role
🥷	ninja	People & Body	person-role
👷	construction worker	People & Body	person-role
👷‍♂️	man construction worker	People & Body	person-role
👷‍♀️	woman construction worker	People & Body	person-role
🫅	person with crown	People & Body	person-role
🤴	prince	People & Body	person-role
👸	princess	People & Body	person-role
👳	person wearing turban	People & Body	person-role
👳‍♂️	man wearing turban	People & Body	person-role
👳‍♀️	woman wearing turban	People & Body	person-role
👲	person with skullcap	People & Body	person-role
🧕	woman with headscarf	People & Body	person-role
🤵	person in tuxedo	People & Body	person-role
🤵‍♂️	man in tuxedo	People & Body	person-role
🤵‍♀️	woman in tuxedo	People & Body	person-role
👰	person with veil	People & Body	person-role
👰‍♂️	man with veil	People & Body	person-role
👰‍♀️	woman with veil	People & Body	person-role
🤰	pregnant woman	People & Body	person-role
🫃	pregnant man	People & Body	person-role
🫄	pregnant person	People & Body	person-role
🤱	breast-feeding	People & Body	person-role
👩‍🍼	woman feeding baby	People & Body	person-role
👨‍🍼	man feeding baby	People & Body	person-role
🧑‍🍼	person feeding baby	People & Body	person-role
👼	baby angel	People & Body	person-fantasy
🎅	Santa Claus	People & Body	person-fantasy
🤶	Mrs. Claus	People & Body	person-fantasy
🧑‍🎄	Mx Claus	People & Body	person-fantasy
🦸	superhero	People & Body	person-fantasy
🦸‍♂️	man superhero	People & Body	person-fantasy
🦸‍♀️	woman superhero	People & Body	person-fantasy
🦹	supervillain	People & Body	person-fantasy
🦹‍♂️	man supervillain	People & Body	person-fantasy
🦹‍♀️	woman supervillain	People & Body	person-fantasy
🧙	mage	People & Body	person-fantasy
🧙‍♂️	man mage	People & Body	person-fantasy
🧙‍♀️	woman mage	People & Body	person-fantasy
🧚	fairy	People & Body	person-fantasy
🧚‍♂️	man fairy	People & Body	person-fantasy
🧚‍♀️	woman fairy	People & Body	person-fantasy
🧛	vampire	People & Body	person-fantasy
🧛‍♂️	man vampire	People & Body	person-fantasy
🧛‍♀️	woman vampire	People & Body	person-fantasy
🧜	merperson	People & Body	person-fantasy
🧜‍♂️	merman	People & Body	person-fantasy
🧜‍♀️	mermaid	People & Body	person-fantasy
🧝	elf	People & Body	person-fantasy
🧝‍♂️	man elf	People & Body	person-fantasy
🧝‍♀️	woman elf	People & Body	person-fantasy
🧞	genie	People & Body	person-fantasy
🧞‍♂️	man genie	People & Body	person-fantasy
🧞‍♀️	woman genie	People & Body	person-fantasy
🧟	zombie	People & Body	person-fantasy
🧟‍♂️	man zombie	People & Body	person-fantasy
🧟‍♀️	woman zombie	People & Body	person-fantasy
🧌	troll	People & Body	person-fantasy
🫈	hairy creature	People & Body	person-fantasy
💆	person getting massage	People & Body	person-activity
💆‍♂️	man getting massage	People & Body	person-activity
💆‍♀️	woman getting massage	People & Body	person-activity
💇	person getting haircut	People & Body	person-activity
💇‍♂️	man getting haircut	People & Body	person-activity
💇‍♀️	woman getting haircut	People & Body	person-activity
🚶	person walking	People & Body	person-activity
🚶‍♂️	man walking	People & Body	person-activity
🚶‍♀️	woman walking	People & Body	person-activity
🚶‍➡️	person walking facing right	People & Body	person-activity
🚶‍♀️‍➡️	woman walking facing right	People & Body	person-activity
🚶‍♂️‍➡️	man walking facing right	People & Body	person-activity
🧍	person standing	People & Body	person-activity
🧍‍♂️	man standing	People & Body	person-activity
🧍‍♀️	woman standing	People & Body	person-activity
🧎	person kneeling	People & Body	person-activity
🧎‍♂️	man kneeling	People & Body	person-activity
🧎‍♀️	woman kneeling	People & Body	person-activity
🧎‍➡️	person kneeling facing right	People & Body	person-activity
🧎‍♀️‍➡️	woman kneeling facing right	People & Body	person-activity
🧎‍♂️‍➡️	man kneeling facing right	People & Body	person-activity
🧑‍🦯	person with white cane	People & Body	person-activity
🧑‍🦯‍➡️	person with white cane facing right	People & Body	person-activity
👨‍🦯	man with white cane	People & Body	person-activity
👨‍🦯‍➡️	man with white cane facing right	People & Body	person-activity
👩‍🦯	woman with white cane	People & Body	person-activity
👩‍🦯‍➡️	woman with white cane facing right	People & Body	person-activity
🧑‍🦼	person in motorized wheelchair	People & Body	person-activity
🧑‍🦼‍➡️	person in motorized wheelchair facing right	People & Body	person-activity
👨‍🦼	man in motorized wheelchair	People & Body	person-activity
👨‍🦼‍➡️	man in motorized wheelchair facing right	People & Body	person-activity
👩‍🦼	woman in motorized wheelchair	People & Body	person-activity
👩‍🦼‍➡️	woman in motorized wheelchair facing right	People & Body	person-activity
🧑‍🦽	person in manual wheelchair	People & Body	person-activity
🧑‍🦽‍➡️	person in manual wheelchair facing right	People & Body	person-activity
👨‍🦽	man in manual wheelchair	People & Body	person-activity
👨‍🦽‍➡️	man in manual wheelchair facing right	People & Body	person-activity
👩‍🦽	woman in manual wheelchair	People & Body	person-activity
👩‍🦽‍➡️	woman in manual wheelchair facing right	People & Body	person-activity
🏃	person running	People & Body	person-activity
🏃‍♂️	man running	People & Body	person-activity
🏃‍♀️	woman running	People & Body	person-activity
🏃‍➡️	person running facing right	People & Body	person-activity
🏃‍♀️‍➡️	woman running facing right	People & Body	person-activity
🏃‍♂️‍➡️	man running facing right	People & Body	person-activity
🧑‍🩰	ballet dancer	People & Body	person-activity
💃	woman dancing	People & Body	person-activity
🕺	man dancing	People & Body	person-activity
🕴️	person in suit levitating	People & Body	person-activity
👯	people with bunny ears	People & Body	person-activity
👯‍♂️	men with bunny ears	People & Body	person-activity
👯‍♀️	women with bunny ears	People & Body	person-activity
🧖	person in steamy room	People & Body	person-activity
🧖‍♂️	man in steamy room	People & Body	person-activity
🧖‍♀️	woman in steamy room	People & Body	person-activity
🧗	person climbing	People & Body	person-activity
🧗‍♂️	man climbing	People & Body	person-activity
🧗‍♀️	woman climbing	People & Body	person-activity
🤺	person fencing	People & Body	person-sport
🏇	horse racing	People & Body	person-sport
⛷️	skier	People & Body	person-sport
🏂	snowboarder	People & Body	person-sport
🏌️	person golfing	People & Body	person-sport
🏌️‍♂️	man golfing	People & Body	person-sport
🏌️‍♀️	woman golfing	People & Body	person-sport
🏄	person surfing	People & Body	person-sport
🏄‍♂️	man surfing	People & Body	person-sport
🏄‍♀️	woman surfing	People & Body	person-sport
🚣	person rowing boat	People & Body	person-sport
🚣‍♂️	man rowing boat	People & Body	person-sport
🚣‍♀️	woman rowing boat	People & Body	person-sport
🏊	person swimming	People & Body	person-sport
🏊‍♂️	man swimming	People & Body	person-sport
🏊‍♀️	woman swimming	People & Body	person-sport
⛹️	person bouncing ball	People & Body	person-sport
⛹️‍♂️	man bouncing ball	People & Body	person-sport
⛹️‍♀️	woman bouncing ball	People & Body	person-sport
🏋️	person lifting weights	People & Body	person-sport
🏋️‍♂️	man lifting weights	People & Body	person-sport
🏋️‍♀️	woman lifting weights	People & Body	person-sport
🚴	person biking	People & Body	person-sport
🚴‍♂️	man biking	People & Body	person-sport
🚴‍♀️	woman biking	People & Body	person-sport
🚵	person mountain biking	People & Body	person-sport
🚵‍♂️	man mountain biking	People & Body	person-sport
🚵‍♀️	woman mountain biking	People & Body	person-sport
🤸	person cartwheeling	People & Body	person-sport
🤸‍♂️	man cartwheeling	People & Body	person-sport
🤸‍♀️	woman cartwheeling	People & Body	person-sport
🤼	people wrestling	People & Body	person-sport
🤼‍♂️	men wrestling	People & Body	person-sport
🤼‍♀️	women wrestling	People & Body	person-sport
🤽	person playing water polo	People & Body	person-sport
🤽‍♂️	man playing water polo	People & Body	person-sport
🤽‍♀️	woman playing water polo	People & Body	person-sport
🤾	person playing handball	People & Body	person-sport
🤾‍♂️	man playing handball	People & Body	person-sport
🤾‍♀️	woman playing handball	People & Body	person-sport
🤹	person juggling	People & Body	person-sport
🤹‍♂️	man juggling	People & Body	person-sport
🤹‍♀️	woman juggling	People & Body	person-sport
🧘	person in lotus position	People & Body	person-resting
🧘‍♂️	man in lotus position	People & Body	person-resting
🧘‍♀️	woman in lotus position	People & Body	person-resting
🛀	person taking bath	People & Body	person-resting
🛌	person in bed	People & Body	person-resting
🧑‍🤝‍🧑	people holding hands	People & Body	family
👭	women holding hands	People & Body	family
👫	woman and man holding hands	People & Body	family
👬	men holding hands	People & Body	family
💏	kiss	People & Body	family
👩‍❤️‍💋‍👨	kiss: woman, man	People & Body	family
👨‍❤️‍💋‍👨	kiss: man, man	People & Body	family
👩‍❤️‍💋‍👩	kiss: woman, woman	People & Body	family
💑	couple with heart	People & Body	family
👩‍❤️‍👨	couple with heart: woman, man	People & Body	family
👨‍❤️‍👨	couple with heart: man, man	People & Body	family
👩‍❤️‍👩	couple with heart: woman, woman	People & Body	family
👨‍👩‍👦	family: man, woman, boy	People & Body	family
👨‍👩‍👧	family: man, woman, girl	People & Body	family
👨‍👩‍👧‍👦	family: man, woman, girl, boy	People & Body	family
👨‍👩‍👦‍👦	family: man, woman, boy, boy	People & Body	family
👨‍👩‍👧‍👧	family: man, woman, girl, girl	People & Body	family
👨‍👨‍👦	family: man, man, boy	People & Body	family
👨‍👨‍👧	family: man, man, girl	People & Body	family
👨‍👨‍👧‍👦	family: man, man, girl, boy	People & Body	family
👨‍👨‍👦‍👦	family: man, man, boy, boy	People & Body	family
👨‍👨‍👧‍👧	family: man, man, girl, girl	People & Body	family
👩‍👩‍👦	family: woman, woman, boy	People & Body	family
👩‍👩‍👧	family: woman, woman, girl	People & Body	family
👩‍👩‍👧‍👦	family: woman, woman, girl, boy	People & Body	family
👩‍👩‍👦‍👦	family: woman, woman, boy, boy	People & Body	family
👩‍👩‍👧‍👧	family: woman, woman, girl, girl	People & Body	family
👨‍👦	family: man, boy	People & Body	family
👨‍👦‍👦	family: man, boy, boy	People & Body	family
👨‍👧	family: man, girl	People & Body	family
👨‍👧‍👦	family: man, girl, boy	People & Body	family
👨‍👧‍👧	family: man, girl, girl	People & Body	family
👩‍👦	family: woman, boy	People & Body	family
👩‍👦‍👦	family: woman, boy, boy	People & Body	family
👩‍👧	family: woman, girl	People & Body	family
👩‍👧‍👦	family: woman, girl, boy	People & Body	family
👩‍👧‍👧	family: woman, girl, girl	People & Body	family
🗣️	speaking head	People & Body	person-symbol
👤	bust in silhouette	People & Body	person-symbol
👥	busts in silhouette	People & Body	person-symbol
🫂	people hugging	People & Body	person-symbol
👪	family	People & Body	person-symbol
🧑‍🧑‍🧒	family: adult, adult, child	People & Body	person-symbol
🧑‍🧑‍🧒‍🧒	family: adult, adult, child, child	People & Body	person-symbol
🧑‍🧒	family: adult, child	People & Body	person-symbol
🧑‍🧒‍🧒	family: adult, child, child	People & Body	person-symbol
👣	footprints	People & Body	person-symbol
🫆	fingerprint	People & Body	person-symbol
🐵	monkey face	Animals & Nature	animal-mammal
🐒	monkey	Animals & Nature	animal-mammal
🦍	gorilla	Animals & Nature	animal-mammal
🦧	orangutan	Animals & Nature	animal-mammal
🐶	dog face	Animals & Nature	animal-mammal
🐕	dog	Animals & Nature	animal-mammal
🦮	guide dog	Animals & Nature	animal-mammal
🐕‍🦺	service dog	Animals & Nature	animal-mammal
🐩	poodle	Animals & Nature	animal-mammal
🐺	wolf	Animals & Nature	animal-mammal
🦊	fox	Animals & Nature	animal-mammal
🦝	raccoon	Animals & Nature	animal-mammal
🐱	cat face	Animals & Nature	animal-mammal
🐈	cat	Animals & Nature	animal-mammal
🐈‍⬛	black cat	Animals & Nature	animal-mammal
🦁	lion	Animals & Nature	animal-mammal
🐯	tiger face	Animals & Nature	animal-mammal
